Recipe Name,Ingredients,Quantity,Instructions,Cuisine,Diet,Meal Type,Cleaned_Ingredients
Chapati,"flour, water, salt","1 cup flour, 1/4 tsp salt, 1/2 cup water","Knead flour, salt, and water into a dough. Roll into thin discs and cook on a hot tawa until golden brown.",indian,vegetarian,lunch,flour water salt
Tomato Soup,"tomato, garlic, salt, water","2 tomatoes, 3 garlic cloves, 1/2 tsp salt, 2 cups water",Blend tomatoes and garlic into a puree. Boil in water with salt for 10-15 minutes. Serve hot.,western,vegan,soup,tomato garlic salt water
Cheese Toast,"bread, cheese, butter","2 slices bread, 2 slices cheese, 1 tbsp butter",Butter the bread slices. Place cheese between them and toast until golden.,western,vegetarian,sandwich,bread cheese butter
Fruit Salad,"apple, banana, grapes, sugar","1 apple, 1 banana, 1/2 cup grapes, 1 tbsp sugar",Chop fruits and mix in a bowl. Add sugar and stir. Serve chilled.,western,vegetarian,snack,apple banana grape sugar
Kachori,"flour, salt, oil","1 cup flour, 1/4 tsp salt, 1 tbsp oil","Make dough with flour, salt, and water. Roll into discs, fill with a little spice mix, fold and deep fry until golden.",indian,vegetarian,snack,flour salt oil
Vermicelli Pudding,"vermicelli, milk, sugar, cardamom","1/2 cup vermicelli, 1 cup milk, 1/4 cup sugar, 1/4 tsp cardamom","Roast vermicelli in a little oil. Add milk, sugar, and cardamom. Simmer until thickened and serve warm.",indian,vegetarian,dessert,vermicelli milk sugar cardamom
Boiled Corn,"corn, salt, butter","1 corn cob, 1/2 tsp salt, 1 tbsp butter","Boil corn for 10-12 minutes, then brush with butter and sprinkle with salt.",western,vegetarian,snack,corn salt butter
Cucumber Salad,"cucumber, salt, lemon, sugar","1 cucumber, 1/2 tsp salt, 1 tbsp lemon juice, 1/2 tsp sugar","Slice cucumber and toss with salt, lemon juice, and sugar. Chill before serving.",western,vegan,snack,cucumber salt lemon sugar
Pasta Salad,"pasta, cucumber, tomato, olive oil, salt","1 cup pasta, 1/2 cucumber, 1 tomato, 1 tbsp olive oil, 1/4 tsp salt",Cook pasta and let it cool. Chop cucumber and tomato. Toss everything with olive oil and salt.,italian,vegetarian,snack,pasta cucumber tomato olive_oil salt
Scrambled Eggs,"egg, salt, butter","2 eggs, 1/4 tsp salt, 1 tbsp butter","Whisk eggs with salt. Heat butter in a pan, pour in eggs, and stir continuously until cooked.",western,vegetarian,breakfast,egg salt butter
Chana Chaat,"chickpeas, onion, tomato, chili, lemon","1 cup chickpeas, 1 onion, 1 tomato, 2 green chilies, 1 tbsp lemon juice","Boil chickpeas and mix with chopped onion, tomato, chilies, and lemon juice. Serve chilled.",indian,vegetarian,snack,chickpea onion tomato chili pepper lemon
Boiled Potatoes,"potato, salt, oil","3 medium potatoes, 1/2 tsp salt, 1 tbsp oil","Boil potatoes, peel and slice. Heat oil in a pan, fry potato slices and sprinkle salt. Serve hot.",indian,vegetarian,lunch,potato salt oil
Garlic Bread,"bread, garlic, butter, parsley","2 slices bread, 2 garlic cloves, 1 tbsp butter, 1/2 tsp parsley","Toast the bread. Melt butter, mix in garlic and parsley, and spread on the bread. Serve warm.",western,vegetarian,snack,bread garlic butter parsley
Instant Poha,"flattened rice, onion, mustard seeds, peas, oil, turmeric","1 cup poha, 1 onion, 1/2 tsp mustard seeds, 1/4 cup peas, 1 tbsp oil, 1/2 tsp turmeric","Heat oil in a pan, add mustard seeds and turmeric, then sauté onions and peas. Add poha, stir, and serve warm.",indian,vegetarian,breakfast,flatten_rice onion mustard_seed pea oil turmeric
Microwave Mug Cake,"flour, sugar, baking powder, cocoa powder, milk, butter","1/4 cup flour, 2 tbsp sugar, 1/4 tsp baking powder, 1 tbsp cocoa powder, 2 tbsp milk, 1 tbsp butter",Mix ingredients in a mug and microwave for 1 minute. Enjoy your single-serve cake.,western,vegetarian,dessert,flour sugar bake_powder cocoa_powder milk butter
Quick Roti,"flour, water, salt","1 cup flour, 1/4 tsp salt, water as needed","Knead flour, salt, and water into soft dough. Roll out dough into thin circles and cook on a hot tawa for 1 minute on each side.",indian,vegetarian,lunch,flour water salt
Boiled Masala Egg,"egg, salt, chili powder, oil","2 eggs, 1/2 tsp salt, 1/2 tsp chili powder, 1 tbsp oil","Boil eggs for 10 minutes. Peel and cut in half. Heat oil, sprinkle chili powder and salt, and sauté the boiled eggs for 2 minutes.",indian,vegetarian,snack,egg salt chili_powder oil
Microwave Oats,"oats, milk, sugar, cinnamon","1/2 cup oats, 1 cup milk, 1 tbsp sugar, 1/4 tsp cinnamon",Mix all ingredients in a microwave-safe bowl and microwave for 2 minutes. Stir and serve warm.,western,vegetarian,breakfast,oats milk sugar cinnamon
Quick Vegetable Pulao,"rice, mixed vegetables, oil, salt, garam masala","1 cup rice, 1/2 cup mixed vegetables, 1 tbsp oil, 1/2 tsp garam masala, salt to taste","Heat oil in a pan, add vegetables and sauté. Add rice, garam masala, salt, and water. Cook for 10-12 minutes until rice is done.",indian,vegetarian,lunch,rice mix_vegetable oil salt garam_masala
Instant Dosa,"rice flour, water, salt, oil","1 cup rice flour, 1/2 cup water, 1/4 tsp salt, 1 tbsp oil","Mix rice flour, water, and salt into a smooth batter. Heat a non-stick pan, spread the batter, and cook for 2 minutes on each side.",indian,vegetarian,breakfast,rice_flour water salt oil
Bread Pakora,"bread, potato, chickpea flour, salt, chili, oil","2 slices bread, 1 potato, 1/4 cup chickpea flour, 1/4 tsp salt, 1/2 tsp chili powder, oil for frying","Boil and mash potato, mix with salt and chili. Place filling between bread slices, dip in chickpea flour batter, and fry in oil for 2 minutes.",indian,vegetarian,snack,bread potato chickpea_flour salt chili pepper oil
Microwave Paneer Tikka,"paneer, yogurt, chili powder, turmeric, garam masala","200g paneer, 2 tbsp yogurt, 1/2 tsp chili powder, 1/4 tsp turmeric, 1/2 tsp garam masala","Mix yogurt and spices, coat paneer with the mixture, and microwave for 2-3 minutes until slightly golden.",indian,vegetarian,supper,paneer yogurt chili_powder turmeric garam_masala
Vegetable Salad,"cucumber, tomato, onion, lemon, salt","1 cucumber, 1 tomato, 1 onion, 1/2 lemon, salt to taste","Chop vegetables, toss together, squeeze lemon juice, sprinkle salt, and serve immediately.",western,vegan,snack,cucumber tomato onion lemon salt
Egg Bhurji,"egg, onion, tomato, chili, salt, oil","2 eggs, 1 onion, 1 tomato, 1 chili, 1/2 tsp salt, 1 tbsp oil","Heat oil, sauté onions, tomatoes, and chilies. Add beaten eggs and scramble until cooked. Serve hot.",indian,vegetarian,lunch,egg onion tomato chili pepper salt oil
Mango Lassi,"mango, yogurt, sugar","1 ripe mango, 1 cup yogurt, 1 tbsp sugar",Blend mango pulp with yogurt and sugar until smooth. Serve chilled.,indian,vegetarian,drink,mango yogurt sugar
Pasta in Creamy Sauce,"pasta, cream, cheese, garlic, salt, pepper","1 cup pasta, 1/4 cup cream, 1/2 cup cheese, 2 garlic cloves, salt and pepper to taste","Cook pasta as per instructions. In a pan, heat cream and sauté garlic. Add pasta, cheese, salt, and pepper. Toss and serve.",western,vegetarian,dinner,pasta cream cheese garlic salt pepper
Grilled Cheese Sandwich,"bread, cheese, butter","2 slices bread, 2 slices cheese, 1 tbsp butter","Butter the bread, place cheese slices between, and grill on both sides until golden brown.",western,vegetarian,sandwich,bread cheese butter
Potato Wedges,"potato, olive oil, salt, pepper","2 medium potatoes, 1 tbsp olive oil, 1/2 tsp salt, 1/4 tsp pepper","Cut potatoes into wedges, toss with olive oil, salt, and pepper. Bake at 200°C for 20 minutes until crispy.",western,vegetarian,snack,potato olive_oil salt pepper
Microwave Pizza,"bread, cheese, tomato, herbs","2 slices bread, 1/2 cup cheese, 2 tbsp tomato sauce, oregano","Spread tomato sauce on bread, top with cheese and herbs, and microwave for 1-2 minutes until cheese melts.",western,vegetarian,supper,bread cheese tomato herb
Chana Chaat,"chickpeas, onion, tomato, lemon, chili","1 cup boiled chickpeas, 1 onion, 1 tomato, 2 green chilies, 1 tbsp lemon juice","Chop onion, tomato, and chilies. Mix with boiled chickpeas and lemon juice. Serve chilled.",indian,vegetarian,snack,chickpea onion tomato lemon chili pepper
Vegetable Stir-Fry,"carrot, cabbage, soy sauce, oil","1 carrot, 1/2 cup cabbage, 1 tbsp soy sauce, 1 tbsp oil","Heat oil, sauté vegetables, add soy sauce, stir-fry for 5 minutes, and serve hot.",chinese,vegan,lunch,carrot cabbage soy_sauce oil
Fried Rice,"rice, soy sauce, vegetables, egg","1 cup rice, 1 tbsp soy sauce, 1/2 cup mixed vegetables, 1 egg","Heat oil, stir-fry vegetables, add cooked rice, soy sauce, and a scrambled egg. Mix well and serve.",chinese,vegetarian,lunch,rice soy_sauce vegetable egg
Egg Salad,"egg, mayo, mustard, salt, pepper","2 boiled eggs, 2 tbsp mayo, 1 tsp mustard, salt and pepper to taste","Chop boiled eggs, mix with mayo, mustard, salt, and pepper. Serve cold.",western,vegetarian,snack,egg mayo mustard salt pepper
French Toast,"bread, egg, sugar, butter","2 slices bread, 1 egg, 1 tbsp sugar, 1 tbsp butter",Whisk egg and sugar together. Dip bread slices into the egg mixture and cook in butter until golden on both sides.,western,vegetarian,breakfast,bread egg sugar butter
Simple Tomato Soup,"tomato, garlic, water, salt, oil","3 tomatoes, 3 garlic cloves, 2 cups water, 1/2 tsp salt, 1 tbsp oil",Boil tomatoes and garlic in water. Blend into a smooth soup and season with salt. Heat oil and pour the soup. Serve hot.,western,vegan,soup,tomato garlic water salt oil
Microwave Pancakes,"flour, milk, sugar, baking powder","1/2 cup flour, 1/4 cup milk, 2 tbsp sugar, 1/2 tsp baking powder","Mix all ingredients into a batter, pour into a microwave-safe bowl, and microwave for 2-3 minutes. Serve with syrup.",western,vegetarian,breakfast,flour milk sugar bake_powder
Aloo Posto,"potato, poppy seeds, mustard oil, salt","3 medium potatoes, 2 tbsp poppy seeds, 2 tbsp mustard oil, salt to taste","Boil and mash potatoes. Grind poppy seeds into a paste. Heat mustard oil, add poppy seed paste and mashed potatoes. Cook for 5 minutes and serve.",bengali,vegetarian,lunch,potato poppy_seed mustard_oil salt
Aloo Bhaja,"potato, turmeric, salt, mustard oil","2 medium potatoes, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil","Slice potatoes into thin rounds. Heat mustard oil, add turmeric and fry the potato slices until golden brown. Sprinkle with salt and serve.",bengali,vegetarian,lunch,potato turmeric salt mustard_oil
Panta Bhat,"leftover rice, green chili, mustard oil, salt","1 cup leftover rice, 2 green chilies, 1 tbsp mustard oil, salt to taste","Soak leftover rice in water overnight. Serve with chopped green chili, mustard oil, and a pinch of salt.",bengali,vegan,breakfast,leftover_rice green_chili mustard_oil salt
Macher Bhorta,"fish, mustard oil, salt, green chili","2 pieces small fish, 2 tbsp mustard oil, salt to taste, 1 green chili","Grill or fry fish, mash with green chili, salt, and mustard oil. Serve with rice.",bengali,non-vegetarian,lunch,fish mustard_oil salt green_chili
Dhokar Dalna,"chana dal, tomato, turmeric, garam masala, oil","1 cup chana dal, 1 tomato, 1/2 tsp turmeric, 1/2 tsp garam masala, 2 tbsp oil",Soak and grind chana dal into a paste. Fry into small cakes and cook in spiced tomato gravy. Serve hot.,bengali,vegetarian,lunch,chana_dal tomato turmeric garam_masala oil
Shorshe Bata Maach,"fish, mustard paste, turmeric, salt, mustard oil","4 pieces of fish, 2 tbsp mustard paste, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil","Marinate fish with turmeric and salt. Fry lightly in mustard oil, then cook with mustard paste until the gravy thickens. Serve with rice.",bengali,non-vegetarian,lunch,fish mustard_paste turmeric salt mustard_oil
Lentil Vorta,"lentil, salt, mustard oil, green chili","1 cup lentil, salt to taste, 2 tbsp mustard oil, 2 green chilies","Boil lentils and mash them with green chilies, salt, and mustard oil. Serve as a side dish with rice.",bengali,vegetarian,lunch,lentil salt mustard_oil green_chili
Bengali Aloo Dum,"potato, onion, turmeric, garam masala, mustard oil","3 medium potatoes, 1 onion, 1/2 tsp turmeric, 1/2 tsp garam masala, 2 tbsp mustard oil","Peel and boil potatoes. Fry onions in mustard oil, add turmeric and garam masala. Cook the potatoes in the mixture for 5 minutes. Serve hot.",bengali,vegetarian,lunch,potato onion turmeric garam_masala mustard_oil
Chingri Malai Curry,"prawn, coconut milk, turmeric, salt, mustard oil","200g prawns, 1 cup coconut milk, 1/2 tsp turmeric, salt to taste, 2 tbsp mustard oil","Fry prawns lightly in mustard oil, add coconut milk, turmeric, and salt. Cook for 5 minutes and serve with rice.",bengali,non-vegetarian,dinner,prawn coconut_milk turmeric salt mustard_oil
Patisapta,"flour, rice flour, coconut, jaggery, cardamom","1 cup flour, 1/4 cup rice flour, 1 cup grated coconut, 1/2 cup jaggery, 1/4 tsp cardamom",Make a batter of flour and rice flour. Cook coconut and jaggery into a thick filling. Stuff the crepes with the filling and serve.,bengali,vegetarian,dessert,flour rice_flour coconut jaggery cardamom
Moong Dal Bhaja,"moong dal, green chili, salt, mustard oil","1 cup moong dal, 2 green chilies, salt to taste, 2 tbsp mustard oil","Soak moong dal, then fry it in mustard oil until golden brown. Add green chilies and salt and serve hot.",bengali,vegetarian,snack,moong_dal green_chili salt mustard_oil
Chingri Bhorta,"prawn, mustard oil, salt, green chili","200g prawns, 2 tbsp mustard oil, salt to taste, 2 green chilies","Boil and mash prawns with green chilies, salt, and mustard oil. Serve as a side dish with rice.",bengali,non-vegetarian,lunch,prawn mustard_oil salt green_chili
Beguni,"eggplant, gram flour, turmeric, salt, oil","1 large eggplant, 1/2 cup gram flour, 1/2 tsp turmeric, salt to taste, oil for frying","Slice eggplant into thin rounds. Make a batter with gram flour, turmeric, and salt. Dip eggplant slices in the batter and deep fry until golden brown. Serve hot.",bengali,vegetarian,snack,eggplant gram_flour turmeric salt oil
Cholar Dal,"chana dal, coconut, cumin, turmeric, salt","1 cup chana dal, 1/4 cup grated coconut, 1/2 tsp cumin seeds, 1/2 tsp turmeric, salt to taste","Soak and boil chana dal. In a pan, heat oil, add cumin seeds, grated coconut, turmeric, and salt. Mix in the boiled dal and cook for 5 minutes. Serve with rice.",bengali,vegetarian,lunch,chana_dal coconut cumin turmeric salt
Boiled Egg,egg,2 eggs,"Place eggs in a saucepan, cover with water. Bring to a boil, then simmer for 9–12 minutes. Cool in cold water before peeling.",other,non-vegetarian,snack,egg
Steamed Rice,"rice, water","1 cup rice, 2 cups water","Wash rice thoroughly. In a pot, bring water to a boil. Add rice, simmer covered for 12–15 minutes until water is absorbed.",asian,vegan,lunch,rice water
Banana Snack,banana,1 ripe banana,"Peel and eat the banana as a quick, healthy snack.",other,vegan,snack,banana
Masala Milk,"milk, sugar","1 cup milk, 1 tsp sugar",Boil milk and add sugar. Stir and serve hot or cold.,indian,vegetarian,beverage,milk sugar
Ghee Bhaat,"rice, ghee","1 cup cooked rice, 1 tsp ghee",Top hot steamed rice with ghee and serve.,bengali,vegetarian,lunch,rice ghee
Sugar Roti,"flour, sugar","1 cup flour, 2 tbsp sugar",Knead flour and sugar with water. Roll into flatbread and roast on tawa until golden.,indian,vegetarian,breakfast,flour sugar
Salt Lassi,"yogurt, salt","1/2 cup yogurt, a pinch of salt",Blend yogurt with water and salt. Serve chilled.,indian,vegetarian,beverage,yogurt salt
Chili Roasted Potato,"potato, chili powder","1 large potato, 1/2 tsp chili powder",Slice and pan roast the potato with chili powder until crispy.,indian,vegan,snack,potato chili_powder
Jaggery Water,"jaggery, water","1 tbsp jaggery, 1 cup water",Dissolve jaggery in water and stir. Drink as a natural energy drink.,indian,vegan,beverage,jaggery water
Fried Papad,papad,1 papad,Fry or roast the papad on flame or in oil until crispy. Serve hot.,indian,vegan,snack,papad
Toasted Bread,bread,2 slices of bread,Toast bread in toaster or on pan until golden brown. Serve warm.,western,vegetarian,breakfast,bread
Plain Roti,"flour, water","1 cup wheat flour, water as needed",Make dough with flour and water. Roll flat and cook on tawa until brown spots appear.,indian,vegan,lunch,flour water
Milk Tea,"milk, tea leaves","1 cup milk, 1 tsp tea leaves",Boil milk and tea together. Strain and serve hot.,indian,vegetarian,beverage,milk tea_leave
Fried Egg,"egg, oil","1 egg, 1 tsp oil",Heat oil in pan. Crack egg into pan and fry until whites are set.,other,non-vegetarian,breakfast,egg oil
Tomato Juice,"tomato, salt","2 tomatoes, a pinch of salt",Blend tomatoes and strain. Add salt and serve chilled.,other,vegan,beverage,tomato salt
Boiled Potato,potato,1 large potato,Boil potato until soft. Peel and eat plain or mash as desired.,other,vegan,snack,potato
Warm Milk,milk,1 cup milk,Heat milk in saucepan until warm. Serve directly.,other,vegetarian,beverage,milk
Cucumber Slices,cucumber,1 cucumber,Peel (optional) and slice cucumber. Serve as a fresh snack.,other,vegan,snack,cucumber
Salted Tomato,"tomato, salt","1 tomato, pinch of salt",Slice tomato and sprinkle with salt. Serve as side or snack.,other,vegan,snack,tomato salt
Mango Pulp,mango,1 ripe mango,Peel and scoop mango flesh into bowl. Mash or serve as is.,indian,vegan,dessert,mango
Bread & Butter,"bread, butter","2 slices bread, 1 tsp butter",Spread butter on bread. Toast if desired and serve.,western,vegetarian,breakfast,bread butter
Peanut Snack,peanuts,1/2 cup peanuts,Dry roast or eat raw as a quick protein snack.,other,vegan,snack,peanut
Coconut Water,coconut,1 tender coconut,Crack open coconut and drink the natural water inside.,other,vegan,beverage,coconut
Boiled Corn,corn,1 corn cob,Boil corn in water for 10 minutes. Serve warm.,other,vegan,snack,corn
Fried Rice,"rice, oil","1 cup cooked rice, 1 tsp oil",Heat oil and stir-fry leftover rice until hot. Serve warm.,asian,vegan,lunch,rice oil
Rice Flour Dosa,"rice flour, water","1 cup rice flour, 1 cup water",Make thin batter and pour on hot tawa to cook both sides. Serve plain.,indian,vegan,breakfast,rice_flour water
Cold Coffee,"coffee, milk","1 tsp instant coffee, 1 cup cold milk",Stir coffee into cold milk until mixed. Add sugar if desired.,western,vegetarian,beverage,coffee milk
Salted Boiled Chickpeas,"chickpeas, salt","1/2 cup chickpeas, 1/4 tsp salt",Soak and boil chickpeas until soft. Add salt and mix.,indian,vegan,snack,chickpea salt
Plain Idli,idli batter,1 cup idli batter,Pour batter into molds and steam for 10–12 minutes. Serve hot.,south indian,vegan,breakfast,idli_batter
Honey Water,"honey, water","1 tsp honey, 1 cup water",Stir honey into warm water and drink.,other,vegetarian,beverage,honey water
Lemon Water,"lemon, water","1/2 lemon, 1 cup water","Squeeze lemon into water, stir well, and serve.",other,vegan,beverage,lemon water
Turmeric Milk,"milk, turmeric","1 cup milk, 1/4 tsp turmeric",Boil milk and stir in turmeric. Serve warm.,indian,vegetarian,beverage,milk turmeric
Sugarcane Juice,sugarcane,1 stalk sugarcane (pressed),Extract juice using juicer. Serve chilled.,indian,vegan,beverage,sugarcane
Mashed Banana,banana,1 ripe banana,Mash banana with spoon and eat as is or use in baby food.,other,vegan,dessert,banana
Butter Chapati,"roti, butter","1 roti, 1 tsp butter",Spread butter on hot roti and roll. Serve immediately.,indian,vegetarian,lunch,roti butter
Roasted Peanuts,"peanuts, salt","1/2 cup peanuts, pinch of salt",Roast peanuts on dry pan until browned. Sprinkle salt and cool.,other,vegan,snack,peanut salt
Coconut Slices,coconut,1/4 coconut,Cut into thin slices and serve as snack.,other,vegan,snack,coconut
Plain Paratha,"flour, oil","1 cup wheat flour, 1 tbsp oil","Make dough with flour and water. Roll, apply oil, fold and cook on pan.",indian,vegan,breakfast,flour oil
Chili Salt Cucumber,"cucumber, chili powder","1 cucumber, 1/4 tsp chili powder","Slice cucumber, sprinkle chili powder and enjoy chilled.",other,vegan,snack,cucumber chili_powder
Flavored Curd,"curd, sugar","1/2 cup curd, 1 tsp sugar",Mix curd with sugar and serve as dessert or side.,indian,vegetarian,dessert,curd sugar
Watermelon Wedges,watermelon,2 slices watermelon,Cut watermelon into wedges and serve chilled.,other,vegan,snack,watermelon
Plain Toast,bread,2 slices bread,Toast the bread in a toaster or on a tawa until golden. Serve plain or with a drink.,western,vegetarian,breakfast,bread
Raw Mango Snack,"raw mango, salt","1 raw mango, pinch of salt",Peel and slice mango. Sprinkle salt and enjoy as a tangy snack.,indian,vegan,snack,raw_mango salt
Butter Milk,"curd, water","1/2 cup curd, 1 cup water",Whisk curd with water until smooth. Serve chilled.,indian,vegetarian,beverage,curd water
Crispy Fried Onion,"onion, oil","1 onion, 2 tbsp oil",Thinly slice onion and fry until golden. Use as garnish or snack.,other,vegan,snack,onion oil
Milk & Banana Shake,"banana, milk","1 banana, 1 cup milk",Blend banana and milk together. Serve immediately.,other,vegetarian,beverage,banana milk
Lemon Tea,"lemon, tea","1/2 lemon, 1 cup black tea","Brew tea, squeeze lemon into it, stir and serve.",indian,vegan,beverage,lemon tea
Roasted Garlic,garlic,1 whole garlic bulb,Wrap in foil and roast at 180°C for 30–35 minutes. Use in spreads or directly.,other,vegan,snack,garlic
Hot Water,water,1 cup water,Boil water and serve hot as a digestive or drink.,other,vegan,beverage,water
Coconut Milk,coconut,1 coconut,Grate coconut and blend with warm water. Strain to get fresh coconut milk.,other,vegan,beverage,coconut
Boiled Moong,"moong dal, water","1/2 cup moong dal, 1 cup water",Boil moong dal in water until soft. Eat plain or with salt.,indian,vegan,snack,moong_dal water
Fried Poha,"poha, oil","1 cup poha, 1 tbsp oil",Wash and drain poha. Fry lightly in oil until crisp. Serve warm.,indian,vegan,snack,poha oil
Boiled Sabudana,"sabudana, water","1/2 cup sabudana, 1.5 cups water","Soak sabudana, then boil until transparent. Eat as is or add fruits.",indian,vegan,breakfast,sabudana water
Apple Snack,apple,1 apple,"Wash, slice and eat the apple raw. No prep needed.",other,vegan,snack,apple
Flavored Water,"mint, water","4 mint leaves, 1 glass water",Add mint leaves to chilled water. Let sit for 5 mins before drinking.,other,vegan,beverage,mint water
Plain Noodles,"noodles, water","1 packet noodles, 2 cups water",Boil noodles in water until soft. Drain and serve plain.,asian,vegan,lunch,noodle water
Dry Toast with Sugar,"bread, sugar","1 bread slice, 1 tsp sugar",Toast the bread and sprinkle sugar over it. Serve hot.,other,vegetarian,snack,bread sugar
Wheat Porridge,"wheat flour, water","2 tbsp wheat flour, 1 cup water",Boil wheat flour in water stirring continuously until thick.,indian,vegan,breakfast,wheat_flour water
Rice Water Drink,"rice, water","2 tbsp rice, 2 cups water",Boil rice in water and strain. Drink the starchy water as a natural drink.,other,vegan,beverage,rice water
Toasted Muri,puffed rice,1 cup puffed rice,Dry roast puffed rice for 1–2 mins till crisp. Cool and eat.,bengali,vegan,snack,puff_rice
Banana Milk,"banana, milk","1 banana, 1 cup boiled milk",Mash banana and mix with warm milk. Serve for kids or elders.,other,vegetarian,beverage,banana milk
Salted Watermelon,"watermelon, salt","1 slice watermelon, pinch of salt",Sprinkle salt over watermelon and enjoy as a tangy twist.,other,vegan,snack,watermelon salt
Ginger Water,"ginger, water","1 inch ginger, 1 cup water",Boil ginger in water for 5 mins. Strain and serve warm.,other,vegan,beverage,ginger water
Toasted Chapati,roti,1 roti,Toast leftover chapati directly on flame until crispy. Serve with pickle.,indian,vegan,snack,roti
Plain Khichdi,"rice, dal","1/2 cup rice, 1/4 cup moong dal",Boil rice and dal together until soft. Eat as is or with salt.,indian,vegan,lunch,rice dal
Steamed Veg,"vegetables, water","1 cup chopped vegetables, water to steam",Steam vegetables until tender. Serve hot.,other,vegan,lunch,vegetable water
Grapes Bowl,grapes,1 cup grapes,Wash grapes and serve directly in a bowl.,other,vegan,snack,grape
Carrot Snack,carrot,1 carrot,Peel and slice carrot. Eat raw as a healthy snack.,other,vegan,snack,carrot
Potato Chips,"potato, oil","1 potato, oil to fry","Thinly slice potato, fry in hot oil until crisp. Cool and serve.",other,vegan,snack,potato oil
Coconut Chunks,coconut,1/4 coconut,Chop into bite-size chunks and eat raw or roasted.,other,vegan,snack,coconut
Sugar Milk,"milk, sugar","1 cup milk, 1 tsp sugar",Boil milk and mix in sugar. Stir well and serve.,other,vegetarian,beverage,milk sugar
Mashed Potato,"potato, salt","1 potato, pinch of salt",Boil and mash the potato. Add salt and mix. Serve warm.,other,vegan,snack,potato salt
